epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126317101,0,920.625,-57.5,0.570640853093458,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126327218,0,920.625,-57,0.74244670133665,-44.75
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126336934,0,920.625,-57.5,0.66881562351814,-28.4375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126350995,0,920.625,-57,0.613592315154257,-16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126362818,0,920.625,-57,0.595184545699629,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126375438,0,920.625,-57,0.662679700366597,-16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126384749,0,920.625,-57,0.601320468851171,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126396298,0,920.625,-57.5,0.681087469821225,-21.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126408035,0,920.625,-57.5,0.539961237335746,13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126418999,0,920.625,-57.5,0.644271930911969,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126428492,0,920.625,-57,0.705631162427395,-30.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126440067,0,920.625,-57.5,0.687223392972767,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126454093,0,920.625,-57.5,0.736310778185108,-44.75
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126466118,0,920.625,-57.5,0.650407854063512,-16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126472455,0,920.625,-58,0.656543777215054,-25.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126487780,0,920.625,-57.5,0.644271930911969,-16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126498665,0,920.625,-57,0.650407854063512,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126506359,0,920.625,-57.5,0.47860200582032,23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126519133,0,920.625,-57.5,0.711767085578938,-32.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126532838,0,920.625,-57,0.595184545699629,-21.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126544271,0,920.625,-57,0.705631162427395,-28.4375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126556062,0,920.625,-57,0.552233083638831,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126567346,0,920.625,-57,0.570640853093458,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126574666,0,920.625,-57.5,0.546097160487288,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126587922,0,920.625,-57.5,0.681087469821225,-14.625
